steps,avg_rewards,episode_step,episode_head,eps_list,episode_loss,q_record,episode_reward,episode_times,episode_relative_times,eval_rewards,highest_eval_score,eval_stds,eval_steps
465,273.0,465,7,1.0,,,273,0.24257469177246094,1.5622248649597168,260.4,399.0,100.8,50128.0
1001,241.5,536,4,1.0,,,210,0.27001190185546875,1.8459289073944092,378.0,462.0,76.29678892325678,100566.0
1475,224.0,474,7,1.0,,,189,0.23356080055236816,2.093657970428467,327.6,462.0,25.200000000000003,150686.0
2140,246.75,665,2,1.0,,,315,0.3346521854400635,2.441256523132324,319.2,462.0,93.34966523775005,201014.0
2822,256.2,682,1,1.0,,,294,0.32542967796325684,2.783263921737671,201.6,462.0,28.485785929126124,251464.0
3492,280.0,670,5,1.0,,,399,0.3192627429962158,3.1178438663482666,331.8,462.0,69.52237050043676,301628.0
4202,285.0,710,4,1.0,,,315,0.34030604362487793,3.4721274375915527,617.4,714.0,87.69857467484862,351844.0
4862,280.875,660,2,1.0,,,252,0.3152425289154053,3.802515983581543,579.6,735.0,94.47666378529674,401861.0
5404,275.3333333333333,542,7,1.0,,,231,0.26148271560668945,4.077664375305176,516.6,735.0,60.281340396510764,451878.0
6072,279.3,668,7,1.0,,,315,0.3234527111053467,4.414961338043213,,,,
6732,276.8181818181818,660,7,1.0,,,252,0.35526084899902344,4.7848801612854,,,,
7444,280.0,712,0,1.0,,,315,0.34293222427368164,5.143704652786255,,,,
7820,273.0,376,8,1.0,,,189,0.18863582611083984,5.347389459609985,,,,
8559,274.5,739,3,1.0,,,294,0.35767579078674316,5.715187311172485,,,,
9100,270.2,541,3,1.0,,,210,0.28137993812561035,6.013765335083008,,,,
9704,263.8125,604,3,1.0,,,168,0.36579084396362305,6.392713785171509,,,,
10409,265.5882352941176,705,7,1.0,,,294,0.3815903663635254,6.794273614883423,,,,
11057,262.5,648,2,1.0,,,210,0.354276180267334,7.165925979614258,,,,
11675,263.05263157894734,618,6,1.0,,,273,0.3069894313812256,7.490600109100342,,,,
12119,258.3,444,7,1.0,,,168,0.228776216506958,7.732836961746216,,,,
12704,258.0,585,3,1.0,,,252,0.3004333972930908,8.047295808792114,,,,
13230,254.86363636363637,526,6,1.0,,,189,0.3033120632171631,8.364583253860474,,,,
13738,251.08695652173913,508,8,1.0,,,168,0.24879002571105957,8.627079963684082,,,,
14285,247.625,547,3,1.0,,,168,0.2875370979309082,8.930768489837646,,,,
14907,244.44,622,6,1.0,,,168,0.32278943061828613,9.27170467376709,,,,
15423,243.92307692307693,516,1,1.0,,,231,0.2593255043029785,9.546258211135864,,,,
16062,241.88888888888889,639,1,1.0,,,189,0.3285224437713623,9.899566888809204,,,,
16678,239.25,616,2,1.0,,,168,0.3018019199371338,10.216240644454956,,,,
17311,237.51724137931035,633,7,1.0,,,189,0.29916858673095703,10.530251502990723,,,,
17861,237.3,550,0,1.0,,,231,0.2707397937774658,10.813521385192871,,,,
18353,236.41935483870967,492,7,1.0,,,210,0.23040103912353516,11.054524898529053,,,,
18829,235.59375,476,4,1.0,,,210,0.2694213390350342,11.33316946029663,,,,
19238,234.8181818181818,409,4,1.0,,,210,0.1937849521636963,11.53715467453003,,,,
19858,235.3235294117647,620,5,1.0,,,252,0.308837890625,11.856329202651978,,,,
20349,234.6,491,4,1.0,,,210,0.23228001594543457,12.09885311126709,,,,
21032,238.0,683,2,1.0,,,357,0.33043766021728516,12.442529678344727,,,,
21712,240.0810810810811,680,3,1.0,,,315,0.33227968215942383,12.791085481643677,,,,
22240,240.94736842105263,528,3,1.0,,,273,0.2544248104095459,13.057650804519653,,,,
22750,239.6153846153846,510,6,1.0,,,189,0.26845240592956543,13.338778257369995,,,,
23408,240.975,658,1,1.0,,,294,0.3240644931793213,13.673662424087524,,,,
24139,244.82926829268294,731,7,1.0,,,399,0.367046594619751,14.058717727661133,,,,
24774,244.5,635,5,1.0,,,231,0.3238527774810791,14.395441770553589,,,,
25294,243.2093023255814,520,6,1.0,,,189,0.26525259017944336,14.672296047210693,,,,
25925,242.9318181818182,631,8,1.0,,,231,0.3190891742706299,15.21445369720459,,,,
26505,245.0,580,3,1.0,,,336,0.29353904724121094,15.518699884414673,,,,
27145,246.52173913043478,640,2,1.0,,,315,0.325176477432251,15.854339361190796,,,,
27642,246.19148936170214,497,2,1.0,,,231,0.2555568218231201,16.121437072753906,,,,
28321,245.0,679,8,1.0,,,189,0.3712120056152344,16.506308794021606,,,,
28931,244.71428571428572,610,5,1.0,,,231,0.33725690841674805,16.855878591537476,,,,
29377,242.76,446,4,1.0,,,147,0.23732233047485352,17.104711532592773,,,,
29900,240.47058823529412,523,2,1.0,,,126,0.2772493362426758,17.394805431365967,,,,
30498,240.28846153846155,598,5,1.0,,,231,0.29474711418151855,17.698136806488037,,,,
31309,242.0943396226415,811,1,1.0,,,336,0.41233277320861816,18.120874166488647,,,,
