steps,avg_rewards,episode_step,episode_head,eps_list,episode_loss,q_record,episode_reward,episode_times,episode_relative_times,eval_rewards,highest_eval_score,eval_stds,eval_steps
239,2.0,239,7,1.0,,,2,0.1417684555053711,0.7868809700012207,4.4,11.0,5.388877434122992,50188.0
419,1.5,180,4,1.0,,,1,0.09787511825561523,0.8939497470855713,0.4,11.0,0.48989794855663565,100300.0
556,1.0,137,7,1.0,,,0,0.08081984519958496,0.9846634864807129,0.0,11.0,0.0,150342.0
783,1.25,227,2,1.0,,,2,0.12882089614868164,1.123115062713623,1.4,11.0,0.4898979485566356,200516.0
947,1.2,164,1,1.0,,,1,0.09648823738098145,1.2282805442810059,1.6,11.0,0.8000000000000002,250522.0
1216,1.5,269,5,1.0,,,3,0.14962553977966309,1.3853657245635986,10.0,16.0,5.019960159204453,300551.0
1493,1.8571428571428572,277,4,1.0,,,4,0.18884015083312988,1.581679105758667,9.6,16.0,2.727636339397171,350739.0
1621,1.625,128,2,1.0,,,0,0.08775210380554199,1.678025722503662,11.4,16.0,1.7435595774162693,401303.0
1752,1.4444444444444444,131,7,1.0,,,0,0.08042073249816895,1.765411376953125,12.2,16.0,2.7129319932501073,451471.0
2029,1.6,277,7,1.0,,,3,0.15662646293640137,1.930356740951538,,,,
2193,1.5454545454545454,164,7,1.0,,,1,0.0911111831665039,2.0300543308258057,,,,
2333,1.4166666666666667,140,0,1.0,,,0,0.0761723518371582,2.1163535118103027,,,,
2493,1.3846153846153846,160,8,1.0,,,1,0.09435701370239258,2.219437599182129,,,,
2754,1.5,261,3,1.0,,,3,0.15110373497009277,2.379009246826172,,,,
3031,1.6,277,3,1.0,,,3,0.15558767318725586,2.5426371097564697,,,,
3185,1.5625,154,3,1.0,,,1,0.0852816104888916,2.636127471923828,,,,
3386,1.5294117647058822,201,7,1.0,,,1,0.10999608039855957,2.7552456855773926,,,,
3555,1.5,169,2,1.0,,,1,0.1013181209564209,2.866335868835449,,,,
3718,1.4736842105263157,163,6,1.0,,,1,0.08505535125732422,2.960401773452759,,,,
3846,1.4,128,7,1.0,,,0,0.07006430625915527,3.037865400314331,,,,
3987,1.3333333333333333,141,3,1.0,,,0,0.07748579978942871,3.1245248317718506,,,,
4124,1.2727272727272727,137,6,1.0,,,0,0.07520151138305664,3.2062489986419678,,,,
4248,1.2173913043478262,124,8,1.0,,,0,0.06610226631164551,3.2806220054626465,,,,
4488,1.2916666666666667,240,3,1.0,,,3,0.132979154586792,3.421907663345337,,,,
4640,1.28,152,6,1.0,,,1,0.08529520034790039,3.514425277709961,,,,
4953,1.3846153846153846,313,1,1.0,,,4,0.17457151412963867,3.696941375732422,,,,
5179,1.4074074074074074,226,1,1.0,,,2,0.11873960494995117,3.825864553451538,,,,
5314,1.3571428571428572,135,2,1.0,,,0,0.07792258262634277,3.9131596088409424,,,,
5443,1.3103448275862069,129,7,1.0,,,0,0.06582307815551758,3.9862864017486572,,,,
5583,1.2666666666666666,140,0,1.0,,,0,0.07680654525756836,4.0688087940216064,,,,
5752,1.2580645161290323,169,7,1.0,,,1,0.0869600772857666,4.162271738052368,,,,
5874,1.21875,122,4,1.0,,,0,0.0680396556854248,4.237935543060303,,,,
6051,1.2121212121212122,177,4,1.0,,,1,0.09450960159301758,4.341375112533569,,,,
6177,1.1764705882352942,126,5,1.0,,,0,0.06947898864746094,4.419401407241821,,,,
6317,1.1428571428571428,140,4,1.0,,,0,0.07622790336608887,4.50266695022583,,,,
6552,1.1666666666666667,235,2,1.0,,,2,0.12683439254760742,4.6372971534729,,,,
6942,1.2972972972972974,390,3,1.0,,,6,0.2162487506866455,4.861752510070801,,,,
7103,1.2894736842105263,161,3,1.0,,,1,0.08307600021362305,4.954216241836548,,,,
7258,1.2820512820512822,155,6,1.0,,,1,0.08480477333068848,5.046171426773071,,,,
7421,1.275,163,1,1.0,,,1,0.08823204040527344,5.1430628299713135,,,,
7713,1.3170731707317074,292,7,1.0,,,3,0.15532851219177246,5.306491136550903,,,,
7844,1.2857142857142858,131,5,1.0,,,0,0.06847047805786133,5.3823559284210205,,,,
7998,1.255813953488372,154,6,1.0,,,0,0.08557009696960449,5.477384805679321,,,,
8124,1.2272727272727273,126,8,1.0,,,0,0.07186412811279297,5.555989742279053,,,,
8384,1.2666666666666666,260,3,1.0,,,3,0.1454167366027832,5.7091333866119385,,,,
8574,1.2826086956521738,190,2,1.0,,,2,0.10077857971191406,5.816014051437378,,,,
8763,1.2765957446808511,189,2,1.0,,,1,0.10370326042175293,5.928817987442017,,,,
9042,1.3125,279,8,1.0,,,3,0.15179228782653809,6.088478326797485,,,,
9256,1.3265306122448979,214,5,1.0,,,2,0.1159660816192627,6.212599754333496,,,,
9608,1.4,352,4,1.0,,,5,0.19251537322998047,6.411954641342163,,,,
9747,1.3725490196078431,139,2,1.0,,,0,0.07493448257446289,6.494959115982056,,,,
9967,1.3846153846153846,220,5,1.0,,,2,0.13356423377990723,6.635059833526611,,,,
10139,1.3773584905660377,172,1,1.0,,,1,0.09848856925964355,6.7415244579315186,,,,
10278,1.3518518518518519,139,1,1.0,,,0,0.07993555068969727,6.830193996429443,,,,
10416,1.3272727272727274,138,0,1.0,,,0,0.07656002044677734,6.915388584136963,,,,
