steps,avg_rewards,episode_step,episode_head,eps_list,episode_loss,q_record,episode_reward,episode_times,episode_relative_times,eval_rewards,highest_eval_score,eval_stds,eval_steps
2043,0.0,2043,7,1.0,,,0,1.7236549854278564,2.182016611099243,0.4,1.0,0.48989794855663565,51112.0
4085,0.0,2042,4,1.0,,,0,1.572620153427124,3.7897634506225586,0.0,1.0,0.0,102221.0
6126,0.0,2041,7,1.0,,,0,1.6281285285949707,5.464055299758911,22.4,23.0,1.2000000000000002,153319.0
8169,0.0,2043,2,1.0,,,0,1.5174310207366943,7.012130975723267,0.0,23.0,0.0,204409.0
10213,0.0,2044,1,1.0,,,0,1.596515417098999,8.651979684829712,0.0,23.0,0.0,255519.0
12258,0.0,2045,5,1.0,,,0,1.544295310974121,10.22434687614441,0.0,23.0,0.0,306650.0
14306,0.0,2048,4,1.0,,,0,1.5599315166473389,11.825345754623413,0.0,23.0,0.0,357771.0
16352,0.0,2046,2,1.0,,,0,1.5340428352355957,13.388880729675293,0.0,23.0,0.0,408889.0
18400,0.0,2048,7,1.0,,,0,1.5843899250030518,15.01082730293274,18.6,23.0,0.7999999999999999,460004.0
20444,0.0,2044,7,1.0,,,0,1.5016703605651855,16.542805910110474,,,,
22490,0.0,2046,7,1.0,,,0,1.530982494354248,18.11346697807312,,,,
24532,0.0,2042,0,1.0,,,0,1.506397008895874,19.651764631271362,,,,
26574,0.0,2042,8,1.0,,,0,1.548593282699585,21.24576735496521,,,,
28619,0.0,2045,3,1.0,,,0,1.5963811874389648,23.14058017730713,,,,
30664,0.0,2045,3,1.0,,,0,1.5379159450531006,24.721235275268555,,,,
32710,0.0,2046,3,1.0,,,0,1.4882516860961914,26.2358615398407,,,,
34752,0.0,2042,7,1.0,,,0,1.5439271926879883,27.827365398406982,,,,
36794,0.0,2042,2,1.0,,,0,1.4942889213562012,29.351982355117798,,,,
38838,0.0,2044,6,1.0,,,0,1.5283520221710205,30.924214601516724,,,,
40884,0.0,2046,7,1.0,,,0,1.489241600036621,32.44051742553711,,,,
42927,0.0,2043,3,1.0,,,0,1.5256333351135254,34.012800216674805,,,,
44975,0.0,2048,6,1.0,,,0,1.479975700378418,35.51962924003601,,,,
47019,0.0,2044,8,1.0,,,0,1.550018310546875,37.11372470855713,,,,
49064,0.0,2045,3,1.0,,,0,1.494880199432373,38.63753318786621,,,,
51112,0.0,2048,6,0.9997013970507813,0.00038468466160087174,0.053828224539756775,0,11.305084705352783,49.98283910751343,,,,
53158,0.0,2046,1,0.9978868450000001,0.000366020854448137,0.05381666496396065,0,19.197448015213013,140.9501438140869,,,,
55199,0.0,2041,1,0.9958637800000001,0.0003657925308515011,0.05383021757006645,0,19.529510021209717,160.7400279045105,,,,
57241,0.0,2042,2,0.9938426950000001,0.0003675750070195962,0.05383457988500595,0,19.709621906280518,180.49991846084595,,,,
59284,0.0,2043,7,0.9918206200000002,0.00036697497891517863,0.05381942167878151,0,19.553245306015015,200.08030152320862,,,,
61332,0.0,2048,0,0.9897955750000001,0.000206314510431898,0.05025984346866608,0,19.680962800979614,219.80359721183777,,,,
63377,0.0,2045,7,0.9877695400000001,0.00011217250551456187,0.048333484679460526,0,19.91250228881836,239.74554991722107,,,,
65422,0.0,2045,4,0.98574499,0.00011299520602593324,0.04832978919148445,0,19.882949113845825,259.67773509025574,,,,
67465,0.0,2043,4,0.9837214300000001,0.0001129004240052015,0.048330385237932205,0,19.752212524414062,279.4620749950409,,,,
69511,0.0,2046,5,0.981697375,0.00011372507387954029,0.04832865297794342,0,19.91780710220337,299.4301345348358,,,,
71556,0.0,2045,4,0.9796723300000001,0.00011426404832803883,0.059486713260412216,0,19.846670150756836,319.30905842781067,,,,
73601,0.0,2045,2,0.9776477800000002,0.00011235509598651354,0.06301231682300568,0,19.83576989173889,339.1873574256897,,,,
75643,0.0,2042,3,0.9756247150000001,0.00011220449582186136,0.06301305443048477,0,19.99846911430359,359.22268986701965,,,,
77685,0.0,2042,3,0.9736031350000001,0.00011242486009488726,0.06300946325063705,0,19.89228343963623,379.16949486732483,,,,
79733,0.0,2048,6,0.971578585,0.00011258749800033582,0.06301585584878922,0,19.815603494644165,399.01317381858826,,,,
81777,0.0,2044,1,0.9695530450000001,0.00011521994961271581,0.07762708514928818,0,19.96424126625061,419.28514552116394,,,,
83819,0.0,2042,7,0.9675304750000001,0.00011286829046971365,0.07983219623565674,0,19.5749933719635,438.88959217071533,,,,
85862,0.0,2043,5,0.9655084000000002,0.00011370659538754916,0.0798342302441597,0,19.91079592704773,458.8482823371887,,,,
87904,0.0,2042,6,0.9634863250000001,0.00011441685289319328,0.07983105629682541,0,19.862215995788574,478.73911452293396,,,,
89952,0.0,2048,8,0.9614617750000001,0.00011399370697281104,0.07983420044183731,0,20.046828269958496,498.8264081478119,,,,
91998,0.0,2046,3,0.9594352450000001,0.00011706638730373691,0.09567439556121826,0,19.839235544204712,518.6971065998077,,,,
94045,0.0,2047,2,0.95740921,0.00011441648091350644,0.09605258703231812,0,20.057569980621338,538.7975168228149,,,,
96088,0.0,2043,2,0.95538466,0.00011371690712654613,0.09605379402637482,0,19.7305269241333,558.5580425262451,,,,
98129,0.0,2041,8,0.9533630800000001,0.00011508492114717821,0.09605352580547333,0,19.80809187889099,578.4111013412476,,,,
100173,0.0,2044,5,0.9513410050000002,0.00011618907683856942,0.09734518080949783,0,19.938557624816895,598.3830034732819,,,,
102221,0.0,2048,4,0.9493154650000001,0.00011795403878680745,0.11139510571956635,0,19.807918071746826,618.2331993579865,,,,
104266,0.0,2045,2,0.9472894300000001,0.00011475827470891289,0.11139543354511261,0,19.579272747039795,670.1564147472382,,,,
106314,0.0,2048,5,0.9452633950000001,0.00011655239365085081,0.1113964170217514,0,19.710231065750122,689.8943679332733,,,,
108359,0.0,2045,1,0.94323736,0.0001154790002304129,0.11139451712369919,0,19.82227921485901,710.0094714164734,,,,
110402,0.0,2043,1,0.9412138,0.00011581108976944861,0.11446564644575119,0,19.786353588104248,729.8226776123047,,,,
112447,0.0,2045,0,0.9391902400000002,0.00011648974108792745,0.12708957493305206,0,19.87618589401245,749.7427794933319,,,,
114492,0.0,2045,0,0.9371656900000002,0.0001165070942248134,0.12709224224090576,0,19.64958143234253,769.4201884269714,,,,
116534,0.0,2042,8,0.9351426250000001,0.00011595381184596232,0.12709133327007294,0,19.849133014678955,789.3119299411774,,,,
118577,0.0,2043,6,0.93312055,0.00011606804110488313,0.1270921528339386,0,19.829086542129517,809.1696541309357,,,,
120620,0.0,2043,1,0.9310979800000002,0.00011783188881882249,0.13133656978607178,0,20.0516619682312,829.2698240280151,,,,
122662,0.0,2042,6,0.929075905,0.00011722634411544396,0.14109547436237335,0,19.62899923324585,848.9285848140717,,,,
124709,0.0,2047,3,0.9270518500000001,0.00011883066706827903,0.14109280705451965,0,19.533732175827026,868.4896388053894,,,,
126752,0.0,2043,4,0.9250273000000001,0.00011769805647530184,0.14109453558921814,0,19.681777238845825,888.1999654769897,,,,
128798,0.0,2046,5,0.9230032450000001,0.00012204189579427366,0.14109398424625397,0,19.77751851081848,908.005232334137,,,,
130843,0.0,2045,5,0.9209782000000002,0.00011803319810769273,0.1468534767627716,0,19.602254152297974,927.6345229148865,,,,
132886,0.0,2043,7,0.91895464,0.00012174141104701409,0.15510663390159607,0,19.733917474746704,947.3970465660095,,,,
134927,0.0,2041,6,0.9169330600000001,0.00012070590753167484,0.15510573983192444,0,19.754292488098145,967.4283320903778,,,,
136974,0.0,2047,5,0.9149095000000002,0.0001173870777972436,0.15510646998882294,0,20.14821434020996,987.603054523468,,,,
139017,0.0,2043,7,0.91288495,0.00012103926703305706,0.1551072895526886,0,20.27678370475769,1007.9259126186371,,,,
141059,0.0,2042,8,0.9108628750000001,0.00012117381589149235,0.16343683004379272,0,19.87600016593933,1027.830991268158,,,,
143101,0.0,2042,1,0.9088412950000001,0.00012353526116268306,0.17119784653186798,0,19.83267569541931,1047.7127344608307,,,,
145144,0.0,2043,8,0.90681922,0.00012461394075154465,0.17119978368282318,0,19.80918860435486,1067.5508818626404,,,,
147189,0.0,2045,8,0.9047956600000001,0.00012049072885403846,0.17119893431663513,0,19.80874991416931,1087.4096763134003,,,,
149232,0.0,2043,0,0.9027721000000001,0.00011614654319457979,0.17120009660720825,0,19.90081763267517,1107.3404183387756,,,,
151276,0.0,2044,2,0.9007490350000001,0.00012212491507104852,0.18189160525798798,0,20.0176842212677,1127.3997480869293,,,,
153319,0.0,2043,1,0.8987259700000001,0.00012418137081659833,0.18832913041114807,0,19.855408906936646,1147.2827849388123,,,,
155361,0.0,2042,1,0.8967038950000001,0.00012107423464935713,0.18832816183567047,0,19.473491191864014,1218.4886212348938,,,,
157406,0.0,2045,2,0.8946808300000001,0.00012504368632762185,0.1883288472890854,0,19.767236471176147,1238.298728942871,,,,
159453,0.0,2047,1,0.8926552900000001,0.00012587231633966038,0.18832790851593018,0,20.098625659942627,1258.4188680648804,,,,
161498,0.0,2045,3,0.8906297500000001,0.0001245286441387974,0.19828903675079346,0,19.883777618408203,1278.5939755439758,,,,
163542,0.0,2044,0,0.8886056950000002,0.00012335862331793154,0.20193704962730408,0,19.89070415496826,1298.514689207077,,,,
