steps,avg_rewards,episode_step,episode_head,eps_list,episode_loss,q_record,episode_reward,episode_times,episode_relative_times,eval_rewards,highest_eval_score,eval_stds,eval_steps
789,0.014235724343452593,789,7,1.0,,,0.014235724343452593,1.6314003467559814,3.332819700241089,0.0,0.0,0.0,50566.0
1244,0.01121697110240347,455,4,1.0,,,0.00819821786135435,0.8929092884063721,4.245964527130127,0.0,0.0,0.0,101152.0
1896,0.011397255147264024,652,7,1.0,,,0.011757823236985132,1.1298811435699463,5.390722274780273,0.0,0.0,0.0,151284.0
2776,0.012515285326808224,880,2,1.0,,,0.015869375865440825,1.844834327697754,7.250536203384399,0.0,0.0,0.0,201750.0
3101,0.011184927824186158,325,1,1.0,,,0.005863497813697898,0.5554418563842773,7.825469017028809,0.0,0.0,0.0,252795.0
3311,0.009952248911916586,210,5,1.0,,,0.00378885435056873,0.3527092933654785,8.187774181365967,0.0,0.0,0.0,302835.0
4061,0.010464701646872394,750,4,1.0,,,0.013539418056607239,1.4226253032684326,9.61967396736145,0.0,0.0,0.0,352962.0
4947,0.01115651795902522,886,2,1.0,,,0.015999232144095,1.4858100414276123,11.12114143371582,0.0,0.0,0.0,403195.0
5185,0.010394393861190308,238,7,1.0,,,0.0042974010785110294,0.39266324043273926,11.53026008605957,,,,
5393,0.009730033001629633,208,7,1.0,,,0.003750785265583546,0.3557300567626953,11.895369529724121,,,,
5803,0.009517793089722873,410,7,1.0,,,0.007395393970655276,0.6687483787536621,12.573138952255249,,,,
6302,0.009473810112588882,499,0,1.0,,,0.008989997364114972,0.7922139167785645,13.379153728485107,,,,
6848,0.009503033931474558,546,8,1.0,,,0.009853719758102678,0.921461820602417,14.314541816711426,,,,
8232,0.010607909653502114,1384,3,1.0,,,0.024971294039860346,2.2242472171783447,16.550850868225098,,,,
9003,0.010827969561330971,771,3,1.0,,,0.013908808270934965,1.3674538135528564,17.942469120025635,,,,
9491,0.010701621065309152,488,3,1.0,,,0.008806393624981866,0.8527731895446777,18.81129813194275,,,,
9904,0.010509865021278311,413,7,1.0,,,0.007441768316784871,0.6523172855377197,19.478931665420532,,,,
10734,0.01075848933141161,830,2,1.0,,,0.01498510260367767,1.4273486137390137,20.91973090171814,,,,
12012,0.011407464680899128,1278,6,1.0,,,0.023089020971674486,2.4298830032348633,23.367921590805054,,,,
12263,0.011063463218451941,251,7,1.0,,,0.004527435431955378,0.4702455997467041,23.863428592681885,,,,
12496,0.010736543627045604,233,3,1.0,,,0.004198151798918845,0.42453980445861816,24.29977822303772,,,,
12764,0.010468070811528542,268,6,1.0,,,0.004830141685670246,0.5054636001586914,24.814439058303833,,,,
13456,0.010555212386458625,692,8,1.0,,,0.012472327034920449,1.2626123428344727,26.092445850372314,,,,
13713,0.010308450112255134,257,3,1.0,,,0.004632917805574833,0.501002311706543,26.61154842376709,,,,
14498,0.01046273315004073,785,6,1.0,,,0.01416552605689505,1.5136971473693848,28.13398313522339,,,,
15411,0.010693483896768437,913,1,1.0,,,0.0164622525649611,1.7298545837402344,29.88002896308899,,,,
16112,0.010765861684189144,701,1,1.0,,,0.012647684157127513,1.3076879978179932,31.206474542617798,,,,
16315,0.010511991047865845,203,2,1.0,,,0.003657483867136762,0.3740572929382324,31.601308345794678,,,,
17011,0.010582551498343399,696,7,1.0,,,0.012558244111714884,1.2709949016571045,32.88156080245972,,,,
17396,0.010461306227487513,385,0,1.0,,,0.006945193372666838,0.7102766036987305,33.605645418167114,,,,
18106,0.01053665734358102,710,7,1.0,,,0.012797190826386216,1.3642752170562744,34.980085372924805,,,,
18344,0.010341515109757893,238,4,1.0,,,0.004292105861240997,0.4384477138519287,35.433321714401245,,,,
19228,0.01051123088052863,884,4,1.0,,,0.015942135545192273,1.477337121963501,36.91986060142517,,,,
19430,0.010309228439514031,202,5,1.0,,,0.003643147886032239,0.3871636390686035,37.327751874923706,,,,
19849,0.010230449808495384,419,4,1.0,,,0.007551976353861393,0.6830573081970215,38.01874756813049,,,,
20772,0.010408300878350728,923,2,1.0,,,0.016633088323287668,1.6072545051574707,39.6372172832489,,,,
21466,0.01046528557186468,694,3,1.0,,,0.012516734538367016,1.1832196712493896,40.83884000778198,,,,
21956,0.010422184965818336,490,3,1.0,,,0.008827462542103606,0.8179383277893066,41.67172861099243,,,,
23182,0.010722046866923426,1226,6,1.0,,,0.02211679910891686,2.0936264991760254,43.777201414108276,,,,
23458,0.010578432866139336,276,1,1.0,,,0.0049774868355598285,0.4804115295410156,44.2805438041687,,,,
24050,0.01058114264677165,592,7,1.0,,,0.010689533872064191,1.0317981243133545,45.321558475494385,,,,
24685,0.01060188000065474,635,5,1.0,,,0.01145211150986141,1.1097102165222168,46.44419193267822,,,,
25079,0.010520790194074599,394,6,1.0,,,0.007115018317708748,0.6883859634399414,47.14803743362427,,,,
25799,0.010576427120540756,720,8,1.0,,,0.01296881495858541,1.2173705101013184,48.3743257522583,,,,
26087,0.010456885102541287,288,3,1.0,,,0.005197036310564722,0.4843311309814453,48.87345910072327,,,,
26769,0.010496739122039718,682,2,1.0,,,0.01229016999946908,1.143327236175537,50.02522301673889,,,,
27094,0.01039808288303283,325,2,1.0,,,0.005859895888715983,0.5421862602233887,50.58290672302246,,,,
27549,0.010352479879463012,455,8,1.0,,,0.008209138711681581,0.7934942245483398,51.38843655586243,,,,
28203,0.010381849082614464,654,5,1.0,,,0.011791570833884196,1.0717213153839111,52.471174478530884,,,,
28437,0.010258639808860605,234,4,1.0,,,0.0042213853949215245,0.4005866050720215,52.88330388069153,,,,
29007,0.010259028353988574,570,2,1.0,,,0.010278455610387028,0.9789934158325195,53.871148347854614,,,,
29522,0.010240393061181886,515,5,1.0,,,0.009289993128040793,0.9074463844299316,54.78999423980713,,,,
30081,0.010237264412714445,559,1,1.0,,,0.010074574692407611,0.9678432941436768,55.76927852630615,,,,
30673,0.010245182312792164,592,1,1.0,,,0.010664831016911177,0.9901783466339111,56.772061586380005,,,,
30979,0.010159273385112593,306,0,1.0,,,0.005520191290415821,0.5041365623474121,57.29013991355896,,,,
31729,0.010219320392934604,750,0,1.0,,,0.013521905823145058,1.2988953590393066,58.59861898422241,,,,
32359,0.010239374729755675,630,8,1.0,,,0.011362417591735716,1.045517921447754,59.660577058792114,,,,
33141,0.010306089881703192,782,6,1.0,,,0.014108853542711587,1.421234130859375,61.09558868408203,,,,
33495,0.010239495447880225,354,1,1.0,,,0.0063770182861480895,0.5754449367523193,61.68608856201172,,,,
34286,0.010306731863393603,791,6,1.0,,,0.014273680378682907,1.3403239250183105,63.03839421272278,,,,
34851,0.010304796457744859,565,3,1.0,,,0.010188672118820243,0.9554092884063721,64.00931429862976,,,,
35040,0.010193615454519467,189,4,1.0,,,0.003411574257770554,0.34479522705078125,64.36763024330139,,,,
35831,0.010258341270096095,791,5,1.0,,,0.014271341835847112,1.309554100036621,65.68538331985474,,,,
36560,0.010303404627084088,729,5,1.0,,,0.013142396117327728,1.2467451095581055,66.9489688873291,,,,
37088,0.010291361122714495,528,7,1.0,,,0.009520576843060553,0.9289016723632812,67.89477348327637,,,,
37650,0.010289176388760094,562,6,1.0,,,0.010147168681723997,1.0085651874542236,68.91649293899536,,,,
38333,0.010319421259154658,683,5,1.0,,,0.012315582705195999,1.1921977996826172,70.1205883026123,,,,
39065,0.01036163467497852,732,7,1.0,,,0.013189933535177261,1.2522854804992676,71.38751530647278,,,,
