steps,avg_rewards,episode_step,episode_head,eps_list,episode_loss,q_record,episode_reward,episode_times,episode_relative_times,eval_rewards,highest_eval_score,eval_stds,eval_steps
1619,-24.0,1619,7,1.0,,,-24,1.3334770202636719,1.8096082210540771,-1.0,-1.0,0.0,51113.0
3283,-24.0,1664,4,1.0,,,-24,1.2794721126556396,3.1373536586761475,-8.0,-1.0,0.0,101115.0
4946,-24.0,1663,7,1.0,,,-24,1.1511168479919434,4.309906244277954,-23.4,-1.0,0.4898979485566356,151461.0
6611,-24.0,1665,2,1.0,,,-24,1.2094841003417969,5.5613367557525635,-4.2,-1.0,2.4,203064.0
8245,-24.0,1634,1,1.0,,,-24,1.121581792831421,6.7053000926971436,-23.8,-1.0,0.39999999999999997,254173.0
9910,-24.0,1665,5,1.0,,,-24,1.1319961547851562,7.856775760650635,-0.8,0.0,0.4000000000000001,305306.0
11545,-24.0,1635,4,1.0,,,-24,1.1751282215118408,9.068622589111328,-24.0,0.0,0.0,356349.0
13179,-24.0,1634,2,1.0,,,-24,1.148665428161621,10.236176490783691,-24.0,0.0,0.0,407557.0
14786,-24.0,1607,7,1.0,,,-24,1.1456656455993652,11.438661813735962,-23.0,0.0,0.0,458717.0
16388,-24.0,1602,7,1.0,,,-24,1.072472333908081,12.53140926361084,,,,
18051,-24.0,1663,7,1.0,,,-24,1.122419834136963,13.6721773147583,,,,
19843,-24.0,1792,0,1.0,,,-24,1.321587324142456,15.035736083984375,,,,
21520,-24.0,1677,8,1.0,,,-24,1.1234841346740723,16.18047022819519,,,,
23214,-24.0,1694,3,1.0,,,-24,1.1890063285827637,17.40630865097046,,,,
24863,-24.0,1649,3,1.0,,,-24,1.1103615760803223,18.535845518112183,,,,
26560,-24.0,1697,3,1.0,,,-24,1.10939359664917,19.663029432296753,,,,
28257,-24.0,1697,7,1.0,,,-24,1.1649391651153564,21.109714031219482,,,,
29857,-24.0,1600,2,1.0,,,-24,1.113616704940796,22.250961780548096,,,,
31428,-24.0,1571,6,1.0,,,-24,1.100409984588623,23.394036054611206,,,,
33157,-24.0,1729,7,1.0,,,-24,1.1617846488952637,24.57261610031128,,,,
34791,-24.0,1634,3,1.0,,,-24,1.075571060180664,25.669442653656006,,,,
36488,-24.0,1697,6,1.0,,,-24,1.1968343257904053,26.885652542114258,,,,
38147,-24.0,1659,8,1.0,,,-24,1.104440450668335,28.00968027114868,,,,
39782,-24.0,1635,3,1.0,,,-24,1.1362431049346924,29.1813063621521,,,,
41325,-24.0,1543,6,1.0,,,-24,1.0116910934448242,30.211961030960083,,,,
42930,-24.0,1605,1,1.0,,,-24,1.0562288761138916,31.283997058868408,,,,
44514,-24.0,1584,1,1.0,,,-24,1.0312657356262207,32.3352689743042,,,,
46258,-23.964285714285715,1744,2,1.0,,,-23,1.1624438762664795,33.51552772521973,,,,
47924,-23.96551724137931,1666,7,1.0,,,-24,1.1930243968963623,34.74833846092224,,,,
49546,-23.966666666666665,1622,0,1.0,,,-24,1.0756146907806396,35.84125280380249,,,,
51113,-23.967741935483872,1567,7,0.9996090365539246,0.007520050521603869,0.05374575033783913,-24,11.145624876022339,47.00588893890381,,,,
52747,-23.96875,1634,4,0.9980897950000001,0.008042554640265409,0.05373522266745567,-24,16.335195541381836,2241.098233938217,,,,
54344,-23.96969696969697,1597,4,0.9964904500000001,0.007262573761137092,0.05373348295688629,-24,15.652525663375854,2257.046061515808,,,,
56030,-23.970588235294116,1686,5,0.9948653650000001,0.007878119984171924,0.05373355373740196,-24,16.343376398086548,2273.4162516593933,,,,
57662,-23.97142857142857,1632,4,0.9932229550000001,0.007771815337647262,0.05374886840581894,-24,16.12306523323059,2289.590518474579,,,,
59356,-23.97222222222222,1694,2,0.9915765850000001,0.00818331201285514,0.05372050032019615,-24,16.9537832736969,2306.5787675380707,,,,
61053,-23.972972972972972,1697,3,0.9898980400000001,0.007631426968775326,0.04775027558207512,-24,17.023340225219727,2323.6325385570526,,,,
62648,-23.973684210526315,1595,3,0.9882685000000002,0.007039285532161411,0.04407858848571777,-24,16.1192307472229,2339.799633026123,,,,
64313,-23.974358974358974,1665,6,0.9866548000000002,0.007540443419666811,0.04408392682671547,-24,16.418176889419556,2356.2444126605988,,,,
65978,-23.975,1665,1,0.98500645,0.0063657266008408635,0.04408113658428192,-24,16.39232873916626,2372.6850275993347,,,,
67643,-23.975609756097562,1665,7,0.9833581000000001,0.007849417271979922,0.04408416524529457,-24,16.404750108718872,2389.1195504665375,,,,
69230,-23.976190476190474,1587,5,0.9817483600000001,0.006561202987120272,0.044082727283239365,-24,15.471733093261719,2404.6200771331787,,,,
71054,-23.953488372093023,1824,6,0.9800599150000001,0.008235460181980205,0.056097790598869324,-23,17.840054512023926,2422.491199493408,,,,
72755,-23.954545454545453,1701,8,0.9783150400000001,0.00716105528803941,0.06490914523601532,-24,16.680994033813477,2439.201570034027,,,,
74357,-23.955555555555556,1602,3,0.976680055,0.007982303732449203,0.06490540504455566,-24,15.975176572799683,2455.2285063266754,,,,
75964,-23.956521739130434,1607,2,0.9750916000000002,0.006659153407928868,0.0649094209074974,-24,15.831042051315308,2471.0856144428253,,,,
77723,-23.95744680851064,1759,2,0.9734254300000001,0.007317306285955262,0.06490897387266159,-24,17.241303205490112,2488.3579030036926,,,,
79450,-23.958333333333332,1727,8,0.9716998600000002,0.0074135681238022165,0.0649065300822258,-24,16.92812991142273,2505.319647550583,,,,
81020,-23.959183673469386,1570,5,0.9700678450000001,0.0074698573388599825,0.0776766911149025,-24,15.702792882919312,2521.311811208725,,,,
82721,-23.96,1701,4,0.9684487,0.007326527215881666,0.08458887785673141,-24,16.752573251724243,2538.1134972572327,,,,
84417,-23.96078431372549,1696,2,0.9667671850000001,0.007619158001150829,0.08457972854375839,-24,17.209150075912476,2556.3393003940582,,,,
86214,-23.96153846153846,1797,5,0.9650381500000002,0.006788288647725532,0.08458713442087173,-24,18.159386157989502,2574.5498111248016,,,,
87990,-23.962264150943398,1776,1,0.963269515,0.0072285276701559605,0.08458089083433151,-24,17.739177227020264,2592.32279253006,,,,
89685,-23.944444444444443,1695,1,0.9615513700000002,0.008236172983050885,0.08458612859249115,-23,16.725178003311157,2609.0786185264587,,,,
91320,-23.945454545454545,1635,0,0.9599030200000002,0.008412831590927941,0.10123865306377411,-24,16.399614334106445,2625.5076434612274,,,,
92955,-23.946428571428573,1635,0,0.9582843700000001,0.00811570072321744,0.10521306842565536,-24,16.591583490371704,2642.1303281784058,,,,
